Description,polarity,Sentiment
independent house sale unit available premium best price property post owner brokerage involve contact desire purchase price independent house area square bathroom property walk distance southern railway headquarter hospital trust hospital best sri,0.39999999999999997,Positive
look good independent house property one popular brokerage property independent house available modern unit area square close best international fortis malar hospital military hospital establish international institute hotel management senior secondary junior college school also,0.22727272727272724,Positive
best independent house available sale brokerage involve post owner grab property sale one top location property price unit monthly maintenance area square ideal location young property close matriculation higher secondary school lady matriculation school school facility also close hand fertility,0.35625,Positive
look good villa property one popular brokerage property total number villa available modern unit area square carpet area villa square property good view bathroom close best eye care hospital hospital nurse home establish vidya sri,0.5142857142857142,Positive
apartment sale unit available premium best price property post owner brokerage involve contact desire purchase floor total number price apartment area square property walk distance hospital medical anna best,0.48,Positive
villa sale owner list property thus brokerage involve villa promise investment destination might chance grab best property sale villa available reasonable price area square property provision bathroom strategic location many repute nearby like hospital hospital,0.5249999999999999,Positive
look apartment sale search buy property location owner list property brokerage involve floor apartment available reasonable price build area property square bathroom number repute vicinity school school mary matriculation school medical facility also close hand like,0.20000000000000004,Positive
look apartment sale search buy property location owner list property brokerage involve floor apartment available reasonable price build area property square bathroom number repute vicinity school school mary matriculation school medical facility also close hand like,0.20000000000000004,Positive
apartment sale owner list property thus brokerage involve apartment promise investment destination might chance grab best property sale property floor total number apartment available reasonable price also need pay maintenance spacious property spread square area,0.39999999999999997,Positive
one property available sale independent house post directly owner make price independent house independent house spacious area square bathroom property quick distance away best matriculation higher secondary school matriculation higher secondary school matriculation higher secondary school also close good repute like,0.17023809523809522,Positive
apartment sale property anna west extension investment location tastefully design unit among best brokerage property property post directly owner contact property floor total number apartment price apartment monthly maintenance come best property spacious area,0.525,Positive
look good apartment property one popular brokerage property property floor total number apartment available modern unit area square close best sugan hospital hospital hospital establish school school middle school also,0.4142857142857142,Positive
check independent house sale property post owner thus need pay broker amount independent house perfect promise location one area buy independent house sale price property pay towards maintenance property abide square area unit bathroom educational,0.25,Positive
look good independent house property one popular brokerage property maintenance property independent house available modern unit area square bathroom close best fertility hospital veterinary hospital fortis malar hospital establish international institute hotel,0.36249999999999993,Positive
